

77,US-Los,Lost Creek,-89.9792,46.0827,WET,reference,,"Baker, I., Denning, A. S., Hanan, N., Prihodko, L., Uliasz, M., Vidale, P., Davis, K., Bakwin, P. (2003) Simulated And Observed Fluxes Of Sensible And Latent Heat And CO2 At The WLEF-TV Tower Using SiB2.5, Global Change Biology, 9(9), 1262-1277"
78,US-MMS,Morgan Monroe State Forest,-86.4131,39.3232,DBF,reference,,"Baldocchi, D. D., Black, T. A., Curtis, P. S., Falge, E., Fuentes, J. D., Granier, A., Gu, L., Knohl, A., Lee, X., Pilegaard, K., Schmid, H. P., Valentini, R., Wilson, K., Wofsy, S., Xu, L., Yamamoto, S. (2005) Predicting The Onset Of Net Carbon Uptake By Deciduous Forests With Soil Temperature And Climate Data: A Synthesis Of FLUXNET Data, International Journal Of Biometeorology, 49(6), 377-387"
79,US-Me2,Metolius mature ponderosa pine,-121.5574,44.4523,ENF,reference,,"Campbell, J. L., Sun, O. J., Law, B. E. (2004) Disturbance And Net Ecosystem Production Across Three Climatically Distinct Forest Landscapes, Global Biogeochemical Cycles, 18(4), n/a-n/a"
80,US-Myb,Mayberry Wetland,-121.76498,38.049861,WET,reference,,"Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 256-257(7), 179-195"
81,US-NR1,Niwot Ridge Forest (LTER NWT1),-105.5464,40.0329,ENF,reference,,"Albert, L. P., Keenan, T. F., Burns, S. P., Huxman, T. E., Monson, R. K. (2017) Climate Controls Over Ecosystem Metabolism: Insights From A Fifteen-Year Inductive Artificial Neural Network Synthesis For A Subalpine Forest, Oecologia, 184(1), 25-41"
82,US-Ne1,Mead - irrigated continuous maize site,-96.4766400,41.1650600,CRO,reference,,"Amos, B., Arkebauer, T. J., Doran, J. W. (2005) Soil Surface Fluxes Of Greenhouse Gases In An Irrigated Maize-Based Agroecosystem, Soil Science Society Of America Journal, 69(2), 387-395"
83,US-Ne2,Mead - irrigated maize-soybean rotation site,-96.4701,41.1648700,CRO,reference,,"Amos, B., Arkebauer, T. J., Doran, J. W. (2005) Soil Surface Fluxes Of Greenhouse Gases In An Irrigated Maize-Based Agroecosystem, Soil Science Society Of America Journal, 69(2), 387-395"
84,US-Ne3,Mead - rainfed maize-soybean rotation site,-96.4396500,41.1796700,CRO,reference,,"Amos, B., Arkebauer, T. J., Doran, J. W. (2005) Soil Surface Fluxes Of Greenhouse Gases In An Irrigated Maize-Based Agroecosystem, Soil Science Society Of America Journal, 69(2), 387-395"
85,US-ORv,Olentangy River Wetland Research Park,-83.0183,40.0201,WET,reference,,"Brooker, M. R., Bohrer, G., Mouser, P. J. (2014) Variations In Potential Ch4 Flux And Co2 Respiration From Freshwater Wetland Sediments That Differ By Microsite Location, Depth And Temperature, Ecological Engineering, 72(8), 84-94"
86,US-PFa,Park Falls/WLEF,-90.2723,45.9459,MF,reference,," (2012) The Imprint Of Surface Fluxes And Transport On Variations In Total Column Carbon Dioxide, Biogeosciences, 9(3), 875-891"
87,US-Prr,Poker Flat Research Range Black Spruce Forest,-147.48756,65.12367,ENF,reference,," (2015) Understory CO2, Sensible Heat, and Latent Heat Fluxes in a Black Spruce Forest in Interior Alaska, Agricultural And Forest Meteorology, 214-215(2), 80-90"
88,US-Syv,Sylvania Wilderness Area,-89.3477,46.2420,MF,reference,,"Barr, A., Richardson, A., Hollinger, D., Papale, D., Arain, M., Black, T., Bohrer, G., Dragoni, D., Fischer, M., Gu, L., Law, B., Margolis, H., McCaughey, J., Munger, J., Oechel, W., Schaeffer, K. (2013) Use Of Change-Point Detection For Friction–Velocity Threshold Evaluation In Eddy-Covariance Studies, Agricultural And Forest Meteorology, 171-172(7), 31-45"
89,US-Ton,Tonzi Ranch,-120.96598,38.4316,WSA,reference,,"Baldocchi, D. D., Ma, S., Rambal, S., Misson, L., Ourcival, J., Limousin, J., Pereira, J., Papale, D. (2010) On The Differential Advantages Of Evergreenness And Deciduousness In Mediterranean Oak Woodlands: A Flux Perspective, Ecological Applications, 20(6), 1583-1597"
90,US-Tw4,Twitchell East End Wetland,-121.6414,38.10298,Wet,reference,,"Chamberlain, S. D., Verfaillie, J., Eichelmann, E., Hemes, K. S., Baldocchi, D. D. (2017) Evaluation Of Density Corrections To Methane Fluxes Measured By Open-Path Eddy Covariance Over Contrasting Landscapes, Boundary-Layer Meteorology, 122(1), 145-167"
91,US-Twt,Twitchell Island,-121.65310,38.1087204,CRO,reference,,"Baldocchi, D., Penuelas, J. (2018) The Physics And Ecology Of Mining Carbon Dioxide From The Atmosphere By Ecosystems, Global Change Biology, 45(6), 9275–9287"
92,US-UMB,Univ. of Mich. Biological Station,-84.7138,45.5598,DBF,reference,,"Aron, P. G., Poulsen, C. J., Fiorella, R. P., Matheny, A. M. (2019) Stable Water Isotopes Reveal Effects Of Intermediate Disturbance And Canopy Structure On Forest Water Cycling, Journal Of Geophysical Research: Biogeosciences, 124(10), 2958-2975"
93,US-UMd,UMBS Disturbance,-84.6975,45.5625,DBF,reference,,"Atkins, J. W., Bohrer, G., Fahey, R. T., Hardiman, B. S., Morin, T. H., Stovall, A. E., Zimmerman, N., Gough, C. M. (2018) Quantifying Vegetation And Canopy Structural Complexity From Terrestrial Lidar Data Using The Forestr R Package, Methods In Ecology And Evolution, 9(10), 2057-2066"
94,US-Var,Vaira Ranch- Ione,-120.9507,38.4133,GRA,reference,,"Baldocchi, D. D., Xu, L., Kiang, N. (2004) How Plant Functional-Type, Weather, Seasonal Drought, And Soil Physical Properties Alter Water And Energy Fluxes Of An Oak–Grass Savanna And An Annual Grassland, Agricultural And Forest Meteorology, 123(1-2), 13-39"
95,US-WCr,Willow Creek,-90.0799,45.8059,DBF,reference,,"Baker, I., Denning, A. S., Hanan, N., Prihodko, L., Uliasz, M., Vidale, P., Davis, K., Bakwin, P. (2003) Simulated And Observed Fluxes Of Sensible And Latent Heat And CO2 At The WLEF-TV Tower Using SiB2.5, Global Change Biology, 9(9), 1262-1277"
